Percentile,Mean_Accuracy,Std_Accuracy
1,0.5217139479905437,0.020330756225174405
11,0.6273167848699763,0.011280101650067913
21,0.6548203309692671,0.015760316744976743
31,0.6583522458628841,0.03082937001640886
41,0.670775413711584,0.03088230060890257
51,0.6592387706855791,0.030813526433067194
61,0.6752198581560284,0.02209862616103819
71,0.6858817966903072,0.01714502527068409
81,0.664595744680851,0.01303600890968341
91,0.6716808510638298,0.02342058102422519
