Percentile,Mean_Accuracy,Std_Accuracy,Atlas,Matrix,FSM
61,0.6539803921568628,0.03390558957206233,BASC064,tangent,MI
62,0.6607450980392157,0.04724341248330872,BASC064,tangent,MI
63,0.6647058823529413,0.04745349207418356,BASC064,tangent,MI
64,0.661686274509804,0.05231563626460151,BASC064,tangent,MI
65,0.6706274509803921,0.05789282013865196,BASC064,tangent,MI
66,0.6517058823529412,0.06247829611619118,BASC064,tangent,MI
67,0.6467450980392158,0.05667577103061455,BASC064,tangent,MI
68,0.6457843137254902,0.04699196639645399,BASC064,tangent,MI
69,0.6507254901960784,0.05707546755428108,BASC064,tangent,MI
70,0.6666666666666667,0.045962724980777546,BASC064,tangent,MI
71,0.6556862745098039,0.0538047218828033,BASC064,tangent,MI
72,0.6586666666666667,0.045216791646778116,BASC064,tangent,MI
73,0.6546470588235295,0.05525649185705783,BASC064,tangent,MI
74,0.6377647058823529,0.05532485587009955,BASC064,tangent,MI
75,0.6527450980392157,0.05050479514807348,BASC064,tangent,MI
76,0.655686274509804,0.05106245280917926,BASC064,tangent,MI
77,0.6507647058823529,0.04930344881810477,BASC064,tangent,MI
78,0.6576666666666666,0.05246374775892355,BASC064,tangent,MI
79,0.6626862745098039,0.051599934580874016,BASC064,tangent,MI
80,0.6616274509803921,0.05937234504070432,BASC064,tangent,MI
81,0.6528235294117647,0.05251690561005877,BASC064,tangent,MI
82,0.6558039215686274,0.0429409257759716,BASC064,tangent,MI
83,0.6587843137254902,0.04734933205910803,BASC064,tangent,MI
84,0.6587843137254902,0.053122116358854485,BASC064,tangent,MI
85,0.6678039215686276,0.04673045566171385,BASC064,tangent,MI
86,0.6588039215686275,0.041669084128255804,BASC064,tangent,MI
87,0.6707450980392157,0.0472336458579905,BASC064,tangent,MI
88,0.6608627450980392,0.03628523423873811,BASC064,tangent,MI
89,0.6628823529411766,0.039732869066747216,BASC064,tangent,MI
90,0.6548627450980393,0.035151542088335264,BASC064,tangent,MI
91,0.6628627450980392,0.04184161196845093,BASC064,tangent,MI
92,0.6638039215686274,0.0474031682633077,BASC064,tangent,MI
93,0.6657843137254902,0.04528420653808488,BASC064,tangent,MI
94,0.6598823529411766,0.04484174402184215,BASC064,tangent,MI
95,0.6599019607843136,0.05010325746968389,BASC064,tangent,MI
96,0.6638823529411765,0.047832592859248194,BASC064,tangent,MI
97,0.6648431372549021,0.05139784214949097,BASC064,tangent,MI
98,0.6797647058823529,0.04909811752170664,BASC064,tangent,MI
99,0.6747647058823529,0.05683454676073246,BASC064,tangent,MI
100,0.6639019607843137,0.048457518543790094,BASC064,tangent,MI
