,Percentile,Mean_Accuracy,Std_Accuracy,Atlas,Matrix,FSM
83,84,0.5874117647058823,0.04015711167202259,harvard_oxford,tangent,f_class
84,85,0.5882941176470589,0.03516108370055321,harvard_oxford,tangent,f_class
85,86,0.5872941176470589,0.04900908122268185,harvard_oxford,tangent,f_class
86,87,0.5932352941176471,0.050209423011717144,harvard_oxford,tangent,f_class
87,88,0.5862941176470587,0.04505705298659673,harvard_oxford,tangent,f_class
88,89,0.5862941176470589,0.0510438858002165,harvard_oxford,tangent,f_class
89,90,0.5842156862745098,0.05601726061778046,harvard_oxford,tangent,f_class
90,91,0.5950980392156862,0.05054923257078005,harvard_oxford,tangent,f_class
91,92,0.6000392156862745,0.05085722678577616,harvard_oxford,tangent,f_class
92,93,0.6039999999999999,0.05805466143175904,harvard_oxford,tangent,f_class
93,94,0.6080196078431372,0.04843021749833251,harvard_oxford,tangent,f_class
94,95,0.6090392156862745,0.048683589511615555,harvard_oxford,tangent,f_class
95,96,0.6099607843137255,0.05397429151512584,harvard_oxford,tangent,f_class
96,97,0.6150588235294119,0.04473157156650871,harvard_oxford,tangent,f_class
97,98,0.6001372549019608,0.04698720448825312,harvard_oxford,tangent,f_class
98,99,0.6030980392156864,0.04115263549178872,harvard_oxford,tangent,f_class
99,100,0.6001960784313727,0.03329028361951722,harvard_oxford,tangent,f_class
