Percentile,Mean_Accuracy,Std_Accuracy,Atlas,Matrix,FSM
1,0.6001960784313727,0.0414575838322588,BASC064,tangent,f_class
2,0.6149411764705882,0.06091553199043589,BASC064,tangent,f_class
3,0.6260588235294117,0.05806911325866975,BASC064,tangent,f_class
4,0.6250196078431371,0.04125027932052739,BASC064,tangent,f_class
5,0.623,0.04680019206905976,BASC064,tangent,f_class
6,0.6279607843137255,0.04009160982061533,BASC064,tangent,f_class
7,0.6448627450980391,0.043707707629968666,BASC064,tangent,f_class
8,0.6388627450980392,0.03787429378813576,BASC064,tangent,f_class
9,0.6388431372549019,0.04541402090639611,BASC064,tangent,f_class
10,0.6418823529411766,0.04556039208766596,BASC064,tangent,f_class
11,0.6549019607843137,0.042125387246562125,BASC064,tangent,f_class
12,0.6370000000000001,0.0465714178730544,BASC064,tangent,f_class
13,0.6529803921568628,0.04604920224387383,BASC064,tangent,f_class
14,0.640156862745098,0.039020277854135255,BASC064,tangent,f_class
15,0.6213529411764707,0.042662399765016894,BASC064,tangent,f_class
16,0.6481960784313724,0.048918232429762704,BASC064,tangent,f_class
17,0.6362549019607844,0.05053846540969496,BASC064,tangent,f_class
18,0.632235294117647,0.03981466096790524,BASC064,tangent,f_class
19,0.6401764705882353,0.03580689054116312,BASC064,tangent,f_class
20,0.6410980392156863,0.029051545753191008,BASC064,tangent,f_class
21,0.6252745098039216,0.03097610419568393,BASC064,tangent,f_class
22,0.642235294117647,0.03222066840570772,BASC064,tangent,f_class
23,0.6441176470588236,0.029460091016605006,BASC064,tangent,f_class
24,0.6321960784313726,0.03848143997574272,BASC064,tangent,f_class
25,0.6342352941176471,0.028969909749528212,BASC064,tangent,f_class
26,0.6511372549019607,0.034199338754453,BASC064,tangent,f_class
27,0.6412549019607844,0.03805318118411979,BASC064,tangent,f_class
28,0.6362549019607844,0.03493350084043765,BASC064,tangent,f_class
29,0.649156862745098,0.02875783496536946,BASC064,tangent,f_class
30,0.6420392156862744,0.033009872348036734,BASC064,tangent,f_class
31,0.6451764705882352,0.028173025018905562,BASC064,tangent,f_class
32,0.6392156862745099,0.037403419137399904,BASC064,tangent,f_class
33,0.6381372549019608,0.037936717577583365,BASC064,tangent,f_class
34,0.642156862745098,0.03733469267586216,BASC064,tangent,f_class
35,0.6391568627450981,0.038830663832487636,BASC064,tangent,f_class
36,0.6510980392156863,0.04239315447484812,BASC064,tangent,f_class
37,0.6501372549019608,0.03827971778293233,BASC064,tangent,f_class
38,0.6471960784313726,0.0419122910183672,BASC064,tangent,f_class
39,0.6482549019607844,0.04155729127704638,BASC064,tangent,f_class
40,0.6402941176470588,0.036125528722106615,BASC064,tangent,f_class
41,0.6392156862745099,0.03740598878420755,BASC064,tangent,f_class
42,0.6501764705882354,0.03253619520568026,BASC064,tangent,f_class
43,0.6550784313725491,0.03508976241547485,BASC064,tangent,f_class
44,0.6541176470588235,0.050513015973864164,BASC064,tangent,f_class
45,0.6511372549019606,0.043433722770916935,BASC064,tangent,f_class
46,0.6441372549019608,0.03471257828394198,BASC064,tangent,f_class
47,0.6520980392156863,0.0360164695976167,BASC064,tangent,f_class
48,0.6560588235294118,0.038061591357164165,BASC064,tangent,f_class
49,0.6621176470588236,0.04460323613357086,BASC064,tangent,f_class
50,0.6630980392156862,0.0509218970596519,BASC064,tangent,f_class
51,0.6730196078431372,0.047240108334421764,BASC064,tangent,f_class
52,0.6720392156862746,0.035079872612573955,BASC064,tangent,f_class
53,0.674,0.033111394944970916,BASC064,tangent,f_class
54,0.6700196078431373,0.02804064853050894,BASC064,tangent,f_class
55,0.6720588235294118,0.029463908026625744,BASC064,tangent,f_class
56,0.6651372549019607,0.035638494193194,BASC064,tangent,f_class
57,0.6610588235294118,0.03242750765315083,BASC064,tangent,f_class
58,0.6580980392156862,0.023874439269690483,BASC064,tangent,f_class
59,0.6441960784313725,0.027321149561822432,BASC064,tangent,f_class
60,0.6521176470588235,0.02670870389056785,BASC064,tangent,f_class
61,0.6570980392156862,0.027842143036654183,BASC064,tangent,f_class
62,0.6501960784313725,0.027640104813100863,BASC064,tangent,f_class
63,0.6591372549019608,0.027980907424800625,BASC064,tangent,f_class
64,0.6541176470588235,0.03494115446402336,BASC064,tangent,f_class
65,0.6492156862745099,0.027934398902799862,BASC064,tangent,f_class
66,0.6501764705882354,0.028611256499184543,BASC064,tangent,f_class
67,0.6610980392156862,0.035354980202853666,BASC064,tangent,f_class
68,0.6481176470588236,0.0250615850452979,BASC064,tangent,f_class
69,0.6530000000000001,0.020597019601272644,BASC064,tangent,f_class
70,0.6570784313725491,0.028662542285317144,BASC064,tangent,f_class
71,0.6550196078431374,0.02814011736481657,BASC064,tangent,f_class
72,0.6550196078431373,0.02778248018636297,BASC064,tangent,f_class
73,0.665,0.029137842075734607,BASC064,tangent,f_class
74,0.6599803921568628,0.022833238619424857,BASC064,tangent,f_class
75,0.6510588235294119,0.024445279773221668,BASC064,tangent,f_class
76,0.6540392156862744,0.03376402267533151,BASC064,tangent,f_class
77,0.6530196078431373,0.03797014144925296,BASC064,tangent,f_class
78,0.6530196078431374,0.03294866861577992,BASC064,tangent,f_class
79,0.6579411764705883,0.037293916619734066,BASC064,tangent,f_class
80,0.6510196078431373,0.03710525154780642,BASC064,tangent,f_class
81,0.6520196078431373,0.03851961158604426,BASC064,tangent,f_class
82,0.6479803921568628,0.03668805604502557,BASC064,tangent,f_class
83,0.6499215686274511,0.041063168112932716,BASC064,tangent,f_class
84,0.6529019607843136,0.03956635373089908,BASC064,tangent,f_class
85,0.6509215686274509,0.042408102241399966,BASC064,tangent,f_class
